Full Name,Date of Birth,Country,State,Religion,Caste,Family Income,School Name,10th Percentage,Higher Education,12th Percentage,Diploma Percentage,Graduation Percentage,Course Type,University,Institution State,Tuition Fee,Exam Fee,Living Type,Hostel Fee,Travel Fee,Father's Name,Mother's Name,Bank Name,Branch Name,Credit Score
Rupa Wason,2006-01-03,India,Telangana,Christian,Other,1032361,Hyderabad Public School,66,12th,60.0,,,PhD,University of Hyderabad,Telangana,121388,5583,Hosteller,27940,0,Pranit,Hamsini,RBL Bank,Hyderabad,714
Vivaan Sunder,2005-04-28,India,Telangana,Christian,OBC,455865,Delhi Public School,67,Diploma,,74.0,,Law,Jawaharlal Nehru Technological University,Telangana,50733,4415,Hosteller,23642,0,Champak,Bhavna,Punjab National Bank,Hyderabad,800
Arjun Dada,2003-01-20,India,Telangana,Muslim,ST,1024072,Narayana,72,Graduation,,,51.0,PhD,ICFAI Business School,Telangana,256043,7185,Day Scholar,0,6385,Samar,Rajata,ICICI Bank,Hyderabad,715
Priya Pandya,1999-03-11,India,Telangana,Other,ST,795836,Bhavans,75,Diploma,,73.0,,Law,ICFAI Business School,Telangana,266722,8308,Hosteller,39488,0,Warjas,Adya,Canara Bank,Hyderabad,677
Aditya Pall,2003-09-28,India,Telangana,Other,SC,123779,Oakridge International School,85,12th,93.0,,,Medical,Jawaharlal Nehru Technological University,Telangana,122289,3265,Hosteller,27703,0,Arin,Nilima,Bajaj Finserv,Hyderabad,830
Ishaan Dey,2004-12-05,India,Telangana,Muslim,OBC,673938,Delhi Public School,77,Graduation,,,72.0,MBA,Osmania University,Telangana,171029,1617,Hosteller,47444,0,Balendra,Raagini,IDFC FIRST Bank,Hyderabad,795
Raj Bajaj,2002-10-29,India,Telangana,Other,Other,1082804,Delhi Public School,74,Diploma,,78.0,,Engineering,BITS Pilani Hyderabad,Telangana,197230,6225,Hosteller,10485,0,Bahadurjit,Nandini,Punjab National Bank,Hyderabad,716
Isha Buch,2007-02-22,India,Telangana,Sikh,ST,100528,Sri Chaitanya,65,12th,60.0,,,Law,BITS Pilani Hyderabad,Telangana,199948,9679,Hosteller,35837,0,Maanav,Chaaya,Union Bank of India,Hyderabad,650
Reyansh D’Alia,2001-03-11,India,Telangana,Sikh,General,892082,Sri Chaitanya,84,Diploma,,58.0,,Vocational Training,ICFAI Business School,Telangana,58721,4281,Day Scholar,0,3297,Bahadurjit,Vasatika,Punjab National Bank,Hyderabad,848
Aditya Peri,2002-01-24,India,Telangana,Muslim,SC,605514,Delhi Public School,60,12th,67.0,,,Engineering,Jawaharlal Nehru Technological University,Telangana,294394,1378,Hosteller,26025,0,Siddharth,Chavvi,IDFC FIRST Bank,Hyderabad,659
Riya Ravel,2004-03-07,India,Telangana,Christian,Other,778819,Bhavans,81,Diploma,,70.0,,MBA,Osmania University,Telangana,176957,8419,Day Scholar,0,7978,Benjamin,Netra,Bank of Baroda,Hyderabad,708
Raj Mannan,2005-07-15,India,Telangana,Christian,OBC,619346,Narayana,92,Graduation,,,90.0,Law,BITS Pilani Hyderabad,Telangana,162851,3510,Hosteller,34262,0,Ekbal,Tamanna,Punjab National Bank,Hyderabad,752
Aanya Guha,1999-11-23,India,Telangana,Muslim,OBC,965301,Oakridge International School,77,Diploma,,58.0,,Arts,Osmania University,Telangana,245336,2999,Day Scholar,0,9044,Finn,Madhavi,Bank of Baroda,Hyderabad,783
Ishaan Swamy,2004-06-25,India,Telangana,Sikh,General,406741,Delhi Public School,89,Diploma,,78.0,,Arts,University of Hyderabad,Telangana,64487,6858,Day Scholar,0,3583,Advay,Vrishti,Kotak Mahindra Bank,Hyderabad,630
Priya Ranganathan,1999-04-09,India,Telangana,Other,OBC,830762,Hyderabad Public School,87,Graduation,,,68.0,Vocational Training,Jawaharlal Nehru Technological University,Telangana,112834,9535,Hosteller,41073,0,Shivansh,Saanvi,Kotak Mahindra Bank,Hyderabad,705
Vihaan Banik,2004-06-09,India,Telangana,Christian,SC,80901,Oakridge International School,91,Diploma,,61.0,,Engineering,BITS Pilani Hyderabad,Telangana,288518,8027,Day Scholar,0,3158,Rehaan,Zansi,Bank of Baroda,Hyderabad,652
Kian Nair,2000-07-24,India,Telangana,Hindu,ST,446327,Narayana,87,12th,75.0,,,Engineering,Jawaharlal Nehru Technological University,Telangana,124979,9350,Hosteller,27027,0,Nihal,Omisha,Bajaj Finserv,Hyderabad,649
Raj Kannan,2004-08-25,India,Telangana,Sikh,Other,527661,Oakridge International School,64,12th,64.0,,,Engineering,University of Hyderabad,Telangana,100049,5040,Day Scholar,0,2730,Gagan,Barkha,Axis Bank,Hyderabad,632
Isha Vyas,2006-02-03,India,Telangana,Hindu,OBC,387726,Narayana,84,Diploma,,67.0,,PhD,BITS Pilani Hyderabad,Telangana,263941,5513,Day Scholar,0,8689,Balvan,Abha,Bank of Baroda,Hyderabad,767
Isha Gaba,2000-06-14,India,Telangana,Sikh,Other,923521,Oakridge International School,68,Graduation,,,63.0,Arts,BITS Pilani Hyderabad,Telangana,164155,4651,Day Scholar,0,2837,Logan,Hemani,Federal Bank,Hyderabad,725
Vivaan Dube,2002-08-22,India,Telangana,Hindu,ST,966723,Oakridge International School,82,12th,75.0,,,MBA,Osmania University,Telangana,222103,1381,Day Scholar,0,3093,Naksh,Aadhya,Bank of Baroda,Hyderabad,647
Vivaan Dixit,2003-06-13,India,Telangana,Other,OBC,795248,Oakridge International School,65,Graduation,,,50.0,Engineering,ICFAI Business School,Telangana,221464,1086,Hosteller,27263,0,Baljiwan,Yutika,IDFC FIRST Bank,Hyderabad,834
Vihaan Tella,2004-06-18,India,Telangana,Hindu,ST,691664,Narayana,74,12th,67.0,,,Law,BITS Pilani Hyderabad,Telangana,53922,6986,Day Scholar,0,8400,Veer,Varsha,Bank of Baroda,Hyderabad,668
Nisha Pal,2007-01-20,India,Telangana,Hindu,OBC,177715,Delhi Public School,74,Diploma,,76.0,,Arts,BITS Pilani Hyderabad,Telangana,264114,1417,Day Scholar,0,5790,Frederick,Aarini,Punjab National Bank,Hyderabad,720
Raj Arya,2005-01-03,India,Telangana,Sikh,Other,338983,Delhi Public School,66,12th,92.0,,,Medical,University of Hyderabad,Telangana,290782,6440,Hosteller,27301,0,Manthan,Ishanvi,RBL Bank,Hyderabad,706
